Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.628636	Src2	0	47	FullDelay	0.236969	236969	1	3
0.63727	Src2	0	48	LastDelay	0.23727	237270	1	3
0.63727	Src2	0	48	FullDelay	0.23727	237270	1	3
0.64586	Src2	0	49	LastDelay	0.237527	237527	1	3
0.64586	Src2	0	49	FullDelay	0.237527	237527	1	3
0.654452	Src2	0	50	LastDelay	0.237785	237785	1	3
0.654452	Src2	0	50	FullDelay	0.237785	237785	1	3
0.663044	Src2	0	51	LastDelay	0.238044	238044	1	3
0.663044	Src2	0	51	FullDelay	0.238044	238044	1	3
0.671636	Src2	0	52	LastDelay	0.238303	238303	1	3
0.671636	Src2	0	52	FullDelay	0.238303	238303	1	3
0.68027	Src2	0	53	LastDelay	0.238603	238603	1	3
0.68027	Src2	0	53	FullDelay	0.238603	238603	1	3
0.68886	Src2	0	54	LastDelay	0.23886	238860	1	3
0.68886	Src2	0	54	FullDelay	0.23886	238860	1	3
0.697452	Src2	0	0	LastDelay	0.239119	239119	1	3
0.697452	Src2	0	0	FullDelay	0.697452	697452	2	3
0.706044	Src2	0	55	LastDelay	0.239377	239377	1	3
0.706044	Src2	0	55	FullDelay	0.239377	239377	1	3
0.714636	Src2	0	56	LastDelay	0.239636	239636	1	3
0.714636	Src2	0	56	FullDelay	0.239636	239636	1	3
0.72327	Src2	0	57	LastDelay	0.239937	239937	1	3
0.72327	Src2	0	57	FullDelay	0.239937	239937	1	3
0.73186	Src2	0	58	LastDelay	0.240193	240193	1	3
0.73186	Src2	0	58	FullDelay	0.240193	240193	1	3
0.740452	Src2	0	59	LastDelay	0.240452	240452	1	3
0.740452	Src2	0	59	FullDelay	0.240452	240452	1	3
0.749044	Src2	0	60	LastDelay	0.240711	240711	1	3
0.749044	Src2	0	60	FullDelay	0.240711	240711	1	3
0.757636	Src2	0	61	LastDelay	0.240969	240969	1	3
0.757636	Src2	0	61	FullDelay	0.240969	240969	1	3
0.76627	Src2	0	62	LastDelay	0.24127	241270	1	3
0.76627	Src2	0	62	FullDelay	0.24127	241270	1	3
0.77486	Src2	0	63	LastDelay	0.241527	241527	1	3
0.77486	Src2	0	63	FullDelay	0.241527	241527	1	3
0.783452	Src2	0	64	LastDelay	0.241785	241785	1	3
0.783452	Src2	0	64	FullDelay	0.241785	241785	1	3
0.792044	Src2	0	65	LastDelay	0.242044	242044	1	3
0.792044	Src2	0	65	FullDelay	0.242044	242044	1	3
0.808799	Src1	0	66	LastDelay	0.250465	250465	1	3
0.808799	Src1	0	66	FullDelay	0.250465	250465	1	3
0.817391	Src1	0	67	LastDelay	0.250724	250724	1	3
0.817391	Src1	0	67	FullDelay	0.250724	250724	1	3
0.81782	Src2	0	69	LastDelay	0.234487	234487	1	3
0.81782	Src2	0	69	FullDelay	0.234487	234487	1	3
0.826412	Src2	0	35	LastDelay	0.218079	218079	1	2
0.826412	Src2	0	35	FullDelay	0.534745	534745	2	2
0.835004	Src2	0	36	LastDelay	0.218337	218337	1	2
0.835004	Src2	0	36	FullDelay	0.535004	535004	2	2
0.851759	Src1	0	72	LastDelay	0.243425	243425	1	3
0.851759	Src1	0	72	FullDelay	0.243425	243425	1	3
0.860351	Src1	0	73	LastDelay	0.243684	243684	1	3
0.860351	Src1	0	73	FullDelay	0.243684	243684	1	3
0.860822	Src2	0	72	LastDelay	0.235822	235822	1	3
0.860822	Src2	0	72	FullDelay	0.235822	235822	1	3
0.869412	Src2	0	73	LastDelay	0.236079	236079	1	3
0.869412	Src2	0	73	FullDelay	0.236079	236079	1	3
0.886167	Src1	0	20	LastDelay	0.227833	227833	1	2
0.886167	Src1	0	20	FullDelay	0.7195	719500	2	2
0.894759	Src1	0	21	LastDelay	0.228092	228092	1	2
0.894759	Src1	0	21	FullDelay	0.719759	719759	2	2
0.903351	Src1	0	22	LastDelay	0.228351	228351	1	2
0.903351	Src1	0	22	FullDelay	0.720017	720017	2	2
0.911943	Src1	0	23	LastDelay	0.228609	228609	1	2
0.911943	Src1	0	23	FullDelay	0.720276	720276	2	2
0.920535	Src1	0	24	LastDelay	0.228868	228868	1	2
0.920535	Src1	0	24	FullDelay	0.720535	720535	2	2
0.929207	Src1	0	25	LastDelay	0.229207	229207	1	2
0.929207	Src1	0	25	FullDelay	0.720873	720873	2	2
0.929596	Src2	0	80	LastDelay	0.237929	237929	1	3
0.929596	Src2	0	80	FullDelay	0.237929	237929	1	3
0.938188	Src2	0	81	LastDelay	0.238188	238188	1	3
0.938188	Src2	0	81	FullDelay	0.238188	238188	1	3
0.946822	Src2	0	82	LastDelay	0.238489	238489	1	3
0.946822	Src2	0	82	FullDelay	0.238489	238489	1	3
